episode_idx,seed,total_reward,n_steps,n_violation_steps,pf_failures,mean_step_ms,lambda,alpha,mean_qc,realised_cost,proj_infeasible_rate,proj_frozen_rate
0,933602049,-3.304054,288,1,0,4.673,0.000000,0.003000,0.020094,0.001121,0.000000,0.000000
1,1522886599,1.763727,288,0,0,29.331,0.000000,0.003000,0.010964,0.000000,0.000000,0.000000
2,908180080,-2.772939,288,1,0,29.180,0.000000,0.003000,0.008269,0.000737,0.000000,0.000000
3,660809712,36.486111,288,24,0,29.539,0.096323,0.003000,0.007718,0.202646,0.000000,0.000000
4,1564906311,37.755439,288,14,0,29.552,0.112163,0.003000,0.010694,0.041680,0.000000,0.000000
5,812252380,48.042636,288,15,0,29.932,0.135479,0.003000,0.014216,0.056632,0.000000,0.000000
6,455088590,48.802398,288,28,0,29.800,0.273324,0.003000,0.013867,0.285690,0.000000,0.000000
7,3619516271,40.198707,288,4,0,29.672,0.271474,0.003000,0.015083,0.006301,0.000000,0.000000
8,2958016028,45.668752,288,16,0,29.714,0.298780,0.003000,0.015013,0.064612,0.000000,0.000000
9,2181752873,38.353599,288,1,0,29.589,0.294572,0.003000,0.016959,0.001583,0.000000,0.000000
10,1532062825,46.816570,288,0,0,29.816,0.289572,0.003000,0.016087,0.000000,0.000000,0.000000
11,1165726176,48.347589,288,3,0,30.018,0.287247,0.003000,0.015986,0.005351,0.000000,0.000000
12,1774823973,45.500050,288,3,0,29.801,0.282578,0.003000,0.021010,0.000663,0.000000,0.000000
13,3894242455,32.145528,288,3,0,29.680,0.283404,0.003000,0.024171,0.011651,0.000000,0.000000
14,1524466797,53.959337,288,0,0,29.852,0.278404,0.003000,0.022795,0.000000,0.000000,0.000000
15,1271984994,32.314616,288,21,0,29.372,0.328529,0.003000,0.027080,0.110250,0.000000,0.000000
16,2946330838,38.367229,288,21,0,29.527,0.374219,0.003000,0.024152,0.101380,0.000000,0.000000
17,3927496832,42.262546,288,13,0,29.387,0.388629,0.003000,0.021668,0.038820,0.000000,0.000000
18,674137568,40.773964,288,2,0,29.562,0.385356,0.003000,0.022609,0.003452,0.000000,0.000000
19,1637409226,41.959295,288,0,0,29.347,0.380356,0.003000,0.025189,0.000000,0.000000,0.000000
20,81240079,28.185950,288,0,0,29.736,0.375356,0.003000,0.025073,0.000000,0.000000,0.000000
21,3214968393,44.013922,288,2,0,29.792,0.372188,0.003000,0.023343,0.003666,0.000000,0.000000
22,4019957127,46.019669,288,9,0,30.116,0.378009,0.003000,0.025569,0.021641,0.000000,0.000000
23,349847518,43.698329,288,0,0,30.066,0.373009,0.003000,0.026759,0.000000,0.000000,0.000000
24,3303178868,36.671675,288,18,0,30.005,0.396391,0.003000,0.028400,0.056765,0.000000,0.000000
25,1082220215,40.608653,288,27,0,30.305,0.508784,0.003000,0.025433,0.234785,0.000000,0.000000
26,194880706,40.730615,288,26,0,29.802,0.591293,0.003000,0.030041,0.175019,0.000000,0.000000
27,3256143462,31.899661,288,18,0,29.828,0.625015,0.003000,0.028629,0.077444,0.000000,0.000000
28,1789733731,40.388936,288,26,0,30.072,0.763507,0.003000,0.028483,0.286985,0.000000,0.000000
29,976852821,11.219463,288,8,0,29.665,0.773349,0.003000,0.029395,0.029683,0.000000,0.000000
30,2873090741,32.809817,288,2,0,29.779,0.768864,0.003000,0.029806,0.001030,0.000000,0.000000
31,3477174432,27.637901,288,11,0,29.979,0.786670,0.003000,0.036069,0.045613,0.000000,0.000000
32,2916012408,19.620974,288,10,0,29.535,0.791493,0.003000,0.037378,0.019646,0.000000,0.000000
33,217619832,29.885688,288,5,0,29.509,0.793526,0.003000,0.043243,0.014067,0.000000,0.000000
34,195226280,24.783360,288,0,0,29.763,0.788526,0.003000,0.063568,0.000000,0.000000,0.000000
35,879976914,36.041034,288,0,0,29.488,0.783526,0.003000,0.058482,0.000000,0.000000,0.000000
36,2376409080,21.127607,288,0,0,29.537,0.778526,0.003000,0.080869,0.000000,0.000000,0.000000
37,3972377126,5.748375,288,0,0,29.607,0.773526,0.003000,0.096065,0.000000,0.000000,0.000000
38,3255295923,20.330126,288,0,0,29.321,0.768526,0.003000,0.114232,0.000000,0.000000,0.000000
39,1295947437,-4.648877,288,3,0,29.437,0.764372,0.003000,0.097316,0.001692,0.000000,0.000000
40,511800708,19.811909,288,0,0,29.728,0.759372,0.003000,0.266554,0.000000,0.000000,0.000000
41,3245326095,25.467775,288,0,0,29.790,0.754372,0.003000,0.203736,0.000000,0.000000,0.000000
42,1352453510,19.126437,288,0,0,29.748,0.749372,0.003000,0.255424,0.000000,0.000000,0.000000
43,223222523,21.867595,288,0,0,29.760,0.744372,0.003000,0.223072,0.000000,0.000000,0.000000
44,1697090179,30.714767,288,11,0,29.798,0.752956,0.003000,0.226064,0.027167,0.000000,0.000000
45,1120100353,21.275871,288,0,0,29.479,0.747956,0.003000,0.232385,0.000000,0.000000,0.000000
46,2028807480,30.401715,288,9,0,29.611,0.756224,0.003000,0.152670,0.026538,0.000000,0.000000
47,2788851410,31.861384,288,6,0,29.878,0.757147,0.003000,0.130531,0.011845,0.000000,0.000000
48,617679441,23.394767,288,11,0,29.811,0.769867,0.003000,0.169464,0.035441,0.000000,0.000000
49,2699293564,23.568503,288,17,0,30.209,0.775944,0.003000,0.178210,0.022154,0.000000,0.000000
50,1721032586,15.072476,288,0,0,30.075,0.770944,0.003000,0.204747,0.000000,0.000000,0.000000
51,2994498426,28.293443,288,14,0,30.193,0.782238,0.003000,0.156765,0.032587,0.000000,0.000000
52,2464513718,26.923609,288,0,0,30.309,0.777238,0.003000,0.153315,0.000000,0.000000,0.000000
53,4016533108,24.259211,288,0,0,30.348,0.772238,0.003000,0.097548,0.000000,0.000000,0.000000
54,2768380843,21.021524,288,13,0,30.327,0.784463,0.003000,0.100914,0.034451,0.000000,0.000000
55,2265039214,21.101511,288,0,0,30.095,0.779463,0.003000,0.092263,0.000000,0.000000,0.000000
56,247535732,19.461563,288,0,0,30.423,0.774463,0.003000,0.121557,0.000000,0.000000,0.000000
57,1392395439,26.209774,288,0,0,30.267,0.769463,0.003000,0.131438,0.000000,0.000000,0.000000
58,2551248566,21.808058,288,10,0,29.938,0.772991,0.003000,0.119415,0.017056,0.000000,0.000000
59,1272975253,28.349165,288,6,0,30.104,0.776214,0.003000,0.136290,0.016446,0.000000,0.000000
60,1998571769,35.804850,288,0,0,30.077,0.771214,0.003000,0.124090,0.000000,0.000000,0.000000
61,2823126051,26.927331,288,0,0,30.181,0.766214,0.003000,0.113877,0.000000,0.000000,0.000000
62,3032482866,32.269767,288,0,0,30.085,0.761214,0.003000,0.156142,0.000000,0.000000,0.000000
63,2017683383,29.890150,288,0,0,29.937,0.756214,0.003000,0.108370,0.000000,0.000000,0.000000
64,819586405,30.593626,288,0,0,30.291,0.751214,0.003000,0.146108,0.000000,0.000000,0.000000
65,2052598447,29.034659,288,3,0,30.706,0.748373,0.003000,0.115598,0.004319,0.000000,0.000000
66,2294932568,30.849669,288,6,0,30.246,0.750166,0.003000,0.114592,0.013586,0.000000,0.000000
67,3895245648,31.759357,288,0,0,29.911,0.745166,0.003000,0.123310,0.000000,0.000000,0.000000
