episode_idx,seed,total_reward,n_steps,n_violation_steps,pf_failures,mean_step_ms,lambda,alpha,mean_qc,realised_cost,proj_infeasible_rate,proj_frozen_rate
0,4209466711,-3.036439,288,1,0,4.774,0.000000,0.003000,0.015291,0.000544,0.000000,0.000000
1,875236792,-6.452315,288,0,0,29.034,0.000000,0.003000,0.010381,0.000000,0.000000,0.000000
2,4124672310,3.087609,288,1,0,29.036,0.000000,0.003000,0.013810,0.000625,0.000000,0.000000
3,4262690140,41.388956,288,2,0,30.042,0.000000,0.003000,0.017825,0.000771,0.000000,0.000000
4,2273031938,43.815758,288,1,0,30.011,0.000000,0.003000,0.010947,0.005421,0.000000,0.000000
5,859577697,37.700820,288,15,0,29.504,0.010568,0.003000,0.018358,0.031137,0.000000,0.000000
6,140453342,53.848790,288,13,0,29.610,0.026454,0.003000,0.018281,0.041772,0.000000,0.000000
7,1380192458,53.025355,288,4,0,29.815,0.026418,0.003000,0.027899,0.009928,0.000000,0.000000
8,3558021800,45.228692,288,12,0,29.940,0.046842,0.003000,0.028582,0.050849,0.000000,0.000000
9,4103779577,36.612253,288,24,0,29.699,0.091434,0.003000,0.021461,0.099183,0.000000,0.000000
10,241946563,38.533718,288,1,0,29.613,0.087296,0.003000,0.022949,0.001724,0.000000,0.000000
11,1825193531,44.043968,288,4,0,30.077,0.087261,0.003000,0.032932,0.009931,0.000000,0.000000
12,784702604,36.083625,288,25,0,29.768,0.151412,0.003000,0.047449,0.138303,0.000000,0.000000
13,2486114002,48.386978,288,14,0,29.590,0.176970,0.003000,0.030360,0.061115,0.000000,0.000000
14,1323382839,37.188041,288,0,0,29.651,0.171970,0.003000,0.048726,0.000000,0.000000,0.000000
15,2628602580,43.145092,288,3,0,30.042,0.169901,0.003000,0.045781,0.005861,0.000000,0.000000
16,354984534,32.683467,288,22,0,30.223,0.216316,0.003000,0.042937,0.102831,0.000000,0.000000
17,2468367692,25.997014,288,3,0,29.738,0.213927,0.003000,0.054212,0.005222,0.000000,0.000000
18,1421004838,37.433093,288,8,0,30.198,0.223209,0.003000,0.054207,0.028564,0.000000,0.000000
19,348871011,30.254602,288,27,0,30.169,0.344418,0.003000,0.062371,0.252418,0.000000,0.000000
20,3470634534,32.584005,288,27,0,30.075,0.443619,0.003000,0.057609,0.208402,0.000000,0.000000
21,2791660755,28.350687,288,23,0,30.189,0.479691,0.003000,0.058148,0.082144,0.000000,0.000000
22,503746257,35.539609,288,24,0,30.491,0.501335,0.003000,0.061229,0.053288,0.000000,0.000000
23,3608104050,37.833210,288,20,0,30.090,0.517901,0.003000,0.067433,0.043131,0.000000,0.000000
24,2014979763,26.601508,288,21,0,30.046,0.549168,0.003000,0.063262,0.072533,0.000000,0.000000
25,3276711616,32.847173,288,0,0,30.336,0.544168,0.003000,0.060186,0.000000,0.000000,0.000000
26,2494969682,37.567041,288,11,0,30.703,0.560519,0.003000,0.071724,0.042702,0.000000,0.000000
27,99757353,35.056625,288,1,0,30.750,0.555618,0.003000,0.067603,0.000199,0.000000,0.000000
28,952684496,39.313217,288,24,0,30.989,0.632404,0.003000,0.071087,0.163570,0.000000,0.000000
29,3800588547,41.392939,288,3,0,30.940,0.629837,0.003000,0.065267,0.004867,0.000000,0.000000
30,2621813852,40.257321,288,8,0,30.864,0.635332,0.003000,0.085473,0.020989,0.000000,0.000000
31,2552198909,27.312975,288,25,0,30.629,0.754149,0.003000,0.095098,0.247635,0.000000,0.000000
32,1939541416,39.075301,288,22,0,30.641,0.794887,0.003000,0.093095,0.091476,0.000000,0.000000
33,3995771472,45.911059,288,13,0,30.773,0.805674,0.003000,0.114987,0.031574,0.000000,0.000000
34,1617984820,17.580847,288,20,0,30.728,0.838578,0.003000,0.107576,0.075808,0.000000,0.000000
35,2115121618,30.429270,288,2,0,30.892,0.834621,0.003000,0.106856,0.002085,0.000000,0.000000
36,2684804931,22.091019,288,0,0,30.802,0.829621,0.003000,0.167039,0.000000,0.000000,0.000000
37,3633681761,22.540830,288,2,0,30.933,0.825483,0.003000,0.149696,0.001725,0.000000,0.000000
38,2380851461,30.731798,288,0,0,30.901,0.820483,0.003000,0.155855,0.000000,0.000000,0.000000
39,3580319939,38.558397,288,0,0,31.220,0.815483,0.003000,0.206314,0.000000,0.000000,0.000000
40,303750836,32.857584,288,0,0,30.949,0.810483,0.003000,0.166652,0.000000,0.000000,0.000000
41,2977828162,30.065524,288,3,0,31.250,0.807529,0.003000,0.198026,0.004091,0.000000,0.000000
42,784015162,23.762997,288,5,0,31.155,0.804746,0.003000,0.144315,0.004435,0.000000,0.000000
43,2839232155,32.354550,288,6,0,31.188,0.804848,0.003000,0.159607,0.010202,0.000000,0.000000
44,3854445691,26.769288,288,1,0,31.279,0.800154,0.003000,0.178465,0.000613,0.000000,0.000000
45,663670838,22.303958,288,0,0,30.787,0.795154,0.003000,0.166192,0.000000,0.000000,0.000000
46,1164702700,32.972911,288,18,0,30.812,0.865122,0.003000,0.181071,0.149935,0.000000,0.000000
47,1533701336,22.086159,288,15,0,31.122,0.903974,0.003000,0.191843,0.087704,0.000000,0.000000
48,1189625965,33.041594,288,13,0,31.087,0.937449,0.003000,0.195670,0.076951,0.000000,0.000000
49,2008968162,32.217851,288,13,0,31.054,0.959450,0.003000,0.201407,0.054002,0.000000,0.000000
50,3825716864,36.091434,288,0,0,30.864,0.954450,0.003000,0.182421,0.000000,0.000000,0.000000
51,58673246,32.762114,288,3,0,31.448,0.952981,0.003000,0.177679,0.007062,0.000000,0.000000
52,180791575,38.367725,288,0,0,31.076,0.947981,0.003000,0.172692,0.000000,0.000000,0.000000
53,915459388,38.185226,288,0,0,31.051,0.942981,0.003000,0.197955,0.000000,0.000000,0.000000
54,3538751127,37.797627,288,0,0,31.198,0.937981,0.003000,0.194303,0.000000,0.000000,0.000000
55,2344933260,37.587132,288,2,0,31.148,0.934560,0.003000,0.170031,0.003157,0.000000,0.000000
56,1848247314,31.573575,288,0,0,31.350,0.929560,0.003000,0.189671,0.000000,0.000000,0.000000
57,51085430,35.211615,288,0,0,31.133,0.924560,0.003000,0.229840,0.000000,0.000000,0.000000
58,4065204706,29.972971,288,0,0,31.283,0.919560,0.003000,0.225807,0.000000,0.000000,0.000000
59,984351765,32.326008,288,0,0,31.211,0.914560,0.003000,0.245071,0.000000,0.000000,0.000000
60,3091180966,33.557360,288,1,0,31.137,0.909684,0.003000,0.248766,0.000248,0.000000,0.000000
61,528061755,27.987448,288,1,0,30.948,0.904764,0.003000,0.214598,0.000160,0.000000,0.000000
62,2200088175,38.480932,288,22,0,31.050,0.979381,0.003000,0.265810,0.159235,0.000000,0.000000
63,2830132844,27.717157,288,6,0,31.185,0.984665,0.003000,0.240158,0.020567,0.000000,0.000000
64,1673483613,27.294431,288,7,0,31.049,0.990103,0.003000,0.280314,0.020876,0.000000,0.000000
65,2778895576,22.470916,288,1,0,31.180,0.985231,0.003000,0.236756,0.000257,0.000000,0.000000
66,1097866560,26.307922,288,0,0,31.115,0.980231,0.003000,0.258895,0.000000,0.000000,0.000000
67,2611721403,33.369430,288,0,0,31.126,0.975231,0.003000,0.283008,0.000000,0.000000,0.000000
68,1433729733,30.504288,288,0,0,31.587,0.970231,0.003000,0.290125,0.000000,0.000000,0.000000
69,1469180816,34.625830,288,0,0,31.299,0.965231,0.003000,0.290562,0.000000,0.000000,0.000000
70,3831192706,33.327943,288,0,0,30.994,0.960231,0.003000,0.337556,0.000000,0.000000,0.000000
71,4138390492,38.696570,288,3,0,31.022,0.956657,0.003000,0.208973,0.002852,0.000000,0.000000
72,886473199,36.791027,288,12,0,31.093,0.976853,0.003000,0.264247,0.050391,0.000000,0.000000
73,2721463290,41.435360,288,19,0,31.029,1.067103,0.003000,0.305468,0.190500,0.000000,0.000000
74,3793123688,28.404712,288,8,0,31.277,1.074998,0.003000,0.314029,0.025790,0.000000,0.000000
75,4294908020,17.790043,288,0,0,31.209,1.069998,0.003000,0.311545,0.000000,0.000000,0.000000
76,3584408718,29.018862,288,8,0,31.310,1.080335,0.003000,0.353414,0.030674,0.000000,0.000000
77,1296136643,29.405771,288,2,0,31.230,1.075578,0.003000,0.281263,0.000486,0.000000,0.000000
