method,n_eps,viol_rate_mean,viol_rate_std,viol_mag_mean,vmin_pu_mean,soc_met_mean,soc_met_std,net_cost_usd_mean,net_cost_usd_std,total_reward_mean,v2g_util_rate_mean,throughput_kwh_mean
uncoord,25,0.11555555555555555,0.00870247233212252,1.3710135356732531,0.9382854090571102,0.9955282051282052,0.012149859781173182,230.7311333333333,27.555438050591754,-205.59542882806832,0.0,1128.8
droop,25,0.05208333333333334,0.008729031312483704,0.09905691295578788,0.947449873783414,0.3245026263513062,0.11299033760381155,66.26558659764311,16.042731314971864,-733.1634001305242,0.09694444444444444,1326.6789786944014
sac_lag_weak,25,0.09041666666666666,0.024324992228438227,0.5570373129469391,0.9424786267424037,0.2767055759244176,0.1166387829988708,104.28994266292173,24.78902885424617,-923.4966177598504,0.17649305555555553,1629.0092599749173
safe_sac_weak,25,0.09125,0.0023073955174772436,0.5950618217190248,0.9438149799398725,0.5688287387695697,0.16389526812336663,125.93776515528798,23.094615671780968,-505.1509636202384,0.10274305555555556,1224.730463106958
sac_lag_strong_xdeploy,25,0.015138888888888891,0.013639426330212133,0.014379224716441392,0.9492212147916403,0.0,0.0,-38.17086747795728,7.6139080603000915,-1898.6735460147966,0.10545138888888889,262.657979468285
safe_sac_strong_xdeploy,25,0.10583333333333333,0.00312422829977833,0.609025623654957,0.9438149799398725,0.44691158308257206,0.07360756802812557,69.65949409913563,14.848051668433857,-1024.123152885082,0.04750000000000001,669.1569729362418
